date,ghi_kwh_m2
2022-02-03,1.13
2022-02-04,2.283
2022-02-05,3.793
2022-02-06,4.677
2022-02-07,5.002
2022-02-08,2.353
2022-02-09,3.274
2022-02-10,2.639
2022-02-11,6.008
2022-02-12,2.801
2022-02-13,6.855
2022-02-14,5.977
2022-02-15,5.699
2022-02-16,5.903
2022-02-17,5.782
2022-02-18,5.767
2022-02-19,5.282
2022-02-20,5.76
2022-02-21,6.734
2022-02-22,5.321
2022-02-23,3.995
2022-02-24,2.353
2022-02-25,4.454
2022-02-26,3.337
2022-02-27,3.415
2022-02-28,6.685
2022-03-01,5.375
2022-03-02,5.39
2022-03-03,5.356
2022-03-04,5.504
2022-03-05,5.735
2022-03-06,4.519
2022-03-07,5.921
2022-03-08,6.332
2022-03-09,5.722
2022-03-10,6.239
2022-03-11,7.031
2022-03-12,7.107
2022-03-13,5.686
2022-03-14,4.304
2022-03-15,5.615
2022-03-16,6.75
2022-03-17,3.678
2022-03-18,6.239
2022-03-19,5.519
2022-03-20,6.689
2022-03-21,5.854
2022-03-22,6.905
2022-03-23,3.154
2022-03-24,6.858
2022-03-25,5.049
2022-03-26,2.132
2022-03-27,8.559
2022-03-28,8.05
2022-03-29,7.191
2022-03-30,6.582
2022-03-31,7.074
2022-04-01,7.309
2022-04-02,7.044
2022-04-03,8.405
2022-04-04,3.621
2022-04-05,7.86
2022-04-06,6.787
2022-04-07,5.153
2022-04-08,7.942
2022-04-09,7.013
2022-04-10,3.243
2022-04-11,7.775
2022-04-12,5.528
2022-04-13,7.205
2022-04-14,6.247
2022-04-15,6.783
2022-04-16,7.132
2022-04-17,3.727
2022-04-18,7.531
2022-04-19,6.68
2022-04-20,7.025
2022-04-21,3.19
2022-04-22,6.552
2022-04-23,7.019
2022-04-24,7.516
2022-04-25,8.37
2022-04-26,7.987
2022-04-27,7.551
2022-04-28,4.565
2022-04-29,8.121
2022-04-30,8.578
2022-05-01,7.365
2022-05-02,7.79
2022-05-03,5.824
2022-05-04,4.031
2022-05-05,6.079
2022-05-06,6.576
2022-05-07,7.752
2022-05-08,7.587
2022-05-09,3.657
2022-05-10,7.414
2022-05-11,7.382
2022-05-12,2.606
2022-05-13,7.381
2022-05-14,8.569
2022-05-15,7.457
2022-05-16,6.247
2022-05-17,3.468
2022-05-18,4.685
2022-05-19,6.947
2022-05-20,6.915
2022-05-21,6.41
2022-05-22,7.627
2022-05-23,3.181
2022-05-24,7.141
2022-05-25,7.404
2022-05-26,7.316
2022-05-27,7.7
2022-05-28,6.018
2022-05-29,7.62
2022-05-30,7.574
2022-05-31,7.026
2022-06-01,7.07
2022-06-02,3.644
2022-06-03,7.722
2022-06-04,4.565
2022-06-05,8.909
2022-06-06,7.311
2022-06-07,5.292
2022-06-08,7.651
2022-06-09,6.847
2022-06-10,6.621
2022-06-11,4.035
2022-06-12,4.212
2022-06-13,5.707
2022-06-14,5.654
2022-06-15,8.796
2022-06-16,7.536
2022-06-17,6.218
2022-06-18,5.824
2022-06-19,1.892
2022-06-20,4.849
2022-06-21,5.843
2022-06-22,7.494
2022-06-23,7.829
2022-06-24,8.83
2022-06-25,6.99
2022-06-26,6.807
2022-06-27,5.855
2022-06-28,6.506
2022-06-29,2.605
2022-06-30,1.069
2022-07-01,3.417
2022-07-02,3.154
2022-07-03,6.503
2022-07-04,6.002
2022-07-05,2.826
2022-07-06,6.024
2022-07-07,8.046
2022-07-08,7.852
2022-07-09,2.994
2022-07-10,5.099
2022-07-11,6.836
2022-07-12,2.351
2022-07-13,5.053
2022-07-14,5.987
2022-07-15,7.249
2022-07-16,3.135
2022-07-17,5.701
2022-07-18,7.449
2022-07-19,5.613
2022-07-20,2.618
2022-07-21,4.23
2022-07-22,4.412
2022-07-23,5.158
2022-07-24,6.159
2022-07-25,4.36
2022-07-26,2.534
2022-07-27,3.585
2022-07-28,5.323
2022-07-29,3.672
2022-07-30,2.699
2022-07-31,4.797
2022-08-01,4.831
2022-08-02,3.181
2022-08-03,4.576
2022-08-04,2.133
2022-08-05,3.665
2022-08-06,4.568
2022-08-07,1.131
2022-08-08,6.811
2022-08-09,6.477
2022-08-10,7.059
2022-08-11,2.22
2022-08-12,8.051
2022-08-13,2.948
2022-08-14,3.534
2022-08-15,5.552
2022-08-16,2.493
2022-08-17,6.43
2022-08-18,6.82
2022-08-19,6.807
2022-08-20,4.706
2022-08-21,5.981
2022-08-22,2.593
2022-08-23,5.921
2022-08-24,4.542
2022-08-25,5.767
2022-08-26,2.744
2022-08-27,6.349
2022-08-28,2.801
2022-08-29,3.047
2022-08-30,4.847
2022-08-31,2.109
2022-09-01,5.754
2022-09-02,4.433
2022-09-03,6.844
2022-09-04,6.852
2022-09-05,7.357
2022-09-06,5.604
2022-09-07,3.637
2022-09-08,5.294
2022-09-09,5.847
2022-09-10,2.22
2022-09-11,6.191
2022-09-12,7.482
2022-09-13,6.318
2022-09-14,3.244
2022-09-15,3.045
2022-09-16,2.088
2022-09-17,5.017
2022-09-18,5.191
2022-09-19,3.8
2022-09-20,4.027
2022-09-21,2.627
2022-09-22,1.612
2022-09-23,1.805
2022-09-24,1.468
2022-09-25,3.582
2022-09-26,5.789
2022-09-27,6.537
2022-09-28,5.636
2022-09-29,6.214
2022-09-30,6.193
2022-10-01,5.342
2022-10-02,6.472
2022-10-03,1.814
2022-10-04,5.883
2022-10-05,2.135
2022-10-06,4.398
2022-10-07,0.863
2022-10-08,1.227
2022-10-09,1.024
2022-10-10,1.892
2022-10-11,3.734
2022-10-12,5.109
2022-10-13,5.563
2022-10-14,3.661
2022-10-15,5.489
2022-10-16,4.898
2022-10-17,3.093
2022-10-18,5.118
2022-10-19,5.804
2022-10-20,5.668
2022-10-21,5.888
2022-10-22,4.686
2022-10-23,2.695
2022-10-24,5.204
2022-10-25,5.327
2022-10-26,5.327
2022-10-27,4.854
2022-10-28,5.154
2022-10-29,3.641
2022-10-30,1.694
2022-10-31,4.164
2022-11-01,4.582
2022-11-02,4.266
2022-11-03,4.111
2022-11-04,3.76
2022-11-05,2.254
2022-11-06,4.057
2022-11-07,4.42
2022-11-08,3.184
2022-11-09,2.139
2022-11-10,1.473
2022-11-11,4.127
2022-11-12,2.721
2022-11-13,4.634
2022-11-14,3.9
2022-11-15,3.628
2022-11-16,3.842
2022-11-17,1.729
2022-11-18,4.911
2022-11-19,3.692
2022-11-20,2.222
2022-11-21,3.96
2022-11-22,2.332
2022-11-23,5.015
2022-11-24,4.358
2022-11-25,4.513
2022-11-26,4.269
2022-11-27,1.762
2022-11-28,2.981
2022-11-29,3.212
2022-11-30,3.165
2022-12-01,1.772
2022-12-02,3.845
2022-12-03,1.276
2022-12-04,3.358
2022-12-05,4.076
2022-12-06,3.948
2022-12-07,2.609
2022-12-08,4.006
2022-12-09,3.581
2022-12-10,3.367
2022-12-11,4.026
2022-12-12,2.305
2022-12-13,4.121
2022-12-14,4.638
2022-12-15,4.202
2022-12-16,4.778
2022-12-17,4.329
2022-12-18,3.547
2022-12-19,2.745
2022-12-20,2.957
2022-12-21,3.148
2022-12-22,2.946
2022-12-23,3.178
2022-12-24,2.91
2022-12-25,2.991
2022-12-26,1.927
2022-12-27,3.438
2022-12-28,2.116
2022-12-29,3.819
2022-12-30,2.539
2022-12-31,1.884
2023-01-01,2.966
2023-01-02,2.247
2023-01-03,2.067
2023-01-04,2.173
2023-01-05,1.89
2023-01-06,3.096
2023-01-07,2.848
2023-01-08,1.064
2023-01-09,2.509
2023-01-10,1.097
2023-01-11,2.065
2023-01-12,1.639
2023-01-13,2.111
2023-01-14,1.623
2023-01-15,4.421
2023-01-16,4.311
2023-01-17,2.967
2023-01-18,4.506
2023-01-19,2.917
2023-01-20,3.745
2023-01-21,1.619
2023-01-22,2.764
2023-01-23,2.954
2023-01-24,1.546
2023-01-25,1.291
2023-01-26,1.987
2023-01-27,4.708
2023-01-28,2.942
2023-01-29,1.063
2023-01-30,2.219
2023-01-31,3.451
2023-02-01,5.299
2023-02-02,2.989
2023-02-03,5.514
2023-02-04,4.585
2023-02-05,5.256
2023-02-06,5.128
2023-02-07,5.578
2023-02-08,4.779
2023-02-09,3.645
2023-02-10,5.094
2023-02-11,2.66
2023-02-12,5.962
2023-02-13,3.125
2023-02-14,5.667
2023-02-15,5.505
2023-02-16,5.31
2023-02-17,4.549
2023-02-18,5.83
2023-02-19,5.359
2023-02-20,4.982
2023-02-21,6.275
2023-02-22,4.72
2023-02-23,5.363
2023-02-24,5.73
2023-02-25,5.318
2023-02-26,5.887
2023-02-27,6.055
2023-02-28,5.442
2023-03-01,4.016
2023-03-02,5.909
2023-03-03,5.264
2023-03-04,3.92
2023-03-05,5.384
2023-03-06,4.26
2023-03-07,6.466
2023-03-08,6.017
2023-03-09,4.661
2023-03-10,2.874
2023-03-11,3.873
2023-03-12,6.372
2023-03-13,5.237
2023-03-14,6.193
2023-03-15,6.301
2023-03-16,4.576
2023-03-17,3.526
2023-03-18,3.188
2023-03-19,4.94
2023-03-20,3.348
2023-03-21,2.955
2023-03-22,4.999
2023-03-23,6.029
2023-03-24,3.393
2023-03-25,6.977
2023-03-26,7.204
2023-03-27,6.705
2023-03-28,7.085
2023-03-29,5.273
2023-03-30,6.065
2023-03-31,5.088
2023-04-01,6.15
2023-04-02,4.102
2023-04-03,7.328
2023-04-04,6.301
2023-04-05,7.694
2023-04-06,8.075
2023-04-07,6.656
2023-04-08,8.181
2023-04-09,8.007
2023-04-10,4.255
2023-04-11,3.465
2023-04-12,7.552
2023-04-13,7.01
2023-04-14,6.834
2023-04-15,8.632
2023-04-16,6.881
2023-04-17,8.19
2023-04-18,7.511
2023-04-19,7.153
2023-04-20,6.043
2023-04-21,6.932
2023-04-22,3.201
2023-04-23,5.346
2023-04-24,5.56
2023-04-25,6.583
2023-04-26,6.448
2023-04-27,6.765
2023-04-28,4.363
2023-04-29,3.685
2023-04-30,3.641
2023-05-01,2.281
2023-05-02,3.959
2023-05-03,4.064
2023-05-04,6.931
2023-05-05,7.736
2023-05-06,6.565
2023-05-07,7.013
2023-05-08,8.012
2023-05-09,8.098
2023-05-10,8.677
2023-05-11,9.12
2023-05-12,5.507
2023-05-13,5.006
2023-05-14,7.205
2023-05-15,5.241
2023-05-16,6.718
2023-05-17,3.791
2023-05-18,7.7
2023-05-19,7.887
2023-05-20,9.358
2023-05-21,7.452
2023-05-22,8.142
2023-05-23,2.726
2023-05-24,4.461
2023-05-25,8.006
2023-05-26,7.675
2023-05-27,5.558
2023-05-28,4.045
2023-05-29,4.734
2023-05-30,3.81
2023-05-31,6.477
2023-06-01,5.54
2023-06-02,3.908
2023-06-03,4.987
2023-06-04,4.627
2023-06-05,6.773
2023-06-06,4.093
2023-06-07,8.554
2023-06-08,7.861
2023-06-09,4.04
2023-06-10,8.16
2023-06-11,5.519
2023-06-12,3.828
2023-06-13,4.021
2023-06-14,7.819
2023-06-15,7.318
2023-06-16,6.551
2023-06-17,5.974
2023-06-18,6.896
2023-06-19,3.36
2023-06-20,7.384
2023-06-21,5.215
2023-06-22,4.069
2023-06-23,4.83
2023-06-24,3.341
2023-06-25,1.42
2023-06-26,3.608
2023-06-27,5.875
2023-06-28,5.674
2023-06-29,3.034
2023-06-30,3.883
2023-07-01,5.807
2023-07-02,5.507
2023-07-03,7.126
2023-07-04,6.099
2023-07-05,5.445
2023-07-06,1.812
2023-07-07,4.949
2023-07-08,2.474
2023-07-09,1.265
2023-07-10,3.666
2023-07-11,3.924
2023-07-12,4.687
2023-07-13,5.074
2023-07-14,3.01
2023-07-15,4.479
2023-07-16,6.096
2023-07-17,4.112
2023-07-18,2.832
2023-07-19,6.256
2023-07-20,7.037
2023-07-21,4.859
2023-07-22,6.252
2023-07-23,3.121
2023-07-24,7.615
2023-07-25,4.72
2023-07-26,2.221
2023-07-27,5.1
2023-07-28,3.843
2023-07-29,2.485
2023-07-30,5.906
2023-07-31,6.552
2023-08-01,8.583
2023-08-02,5.224
2023-08-03,5.894
2023-08-04,2.877
2023-08-05,3.712
2023-08-06,5.424
2023-08-07,4.746
2023-08-08,5.296
2023-08-09,4.709
2023-08-10,5.048
2023-08-11,5.585
2023-08-12,7.086
2023-08-13,5.024
2023-08-14,4.857
2023-08-15,4.85
2023-08-16,3.007
2023-08-17,6.464
2023-08-18,6.742
2023-08-19,4.269
2023-08-20,6.227
2023-08-21,3.518
2023-08-22,1.588
2023-08-23,0.834
2023-08-24,5.25
2023-08-25,5.828
2023-08-26,6.117
2023-08-27,6.853
2023-08-28,3.413
2023-08-29,6.441
2023-08-30,6.685
2023-08-31,6.62
2023-09-01,2.986
2023-09-02,6.632
2023-09-03,7.67
2023-09-04,7.035
2023-09-05,3.481
2023-09-06,4.409
2023-09-07,5.999
2023-09-08,2.356
2023-09-09,3.528
2023-09-10,2.923
2023-09-11,4.663
2023-09-12,5.372
2023-09-13,5.642
2023-09-14,5.919
2023-09-15,2.384
2023-09-16,1.67
2023-09-17,4.71
2023-09-18,5.765
2023-09-19,6.413
2023-09-20,6.207
2023-09-21,1.695
2023-09-22,5.995
2023-09-23,4.653
2023-09-24,4.383
2023-09-25,3.682
2023-09-26,2.403
2023-09-27,6.429
2023-09-28,7.05
2023-09-29,6.209
2023-09-30,4.631
2023-10-01,5.654
2023-10-02,6.244
2023-10-03,6.899
2023-10-04,6.253
2023-10-05,3.076
2023-10-06,6.337
2023-10-07,5.757
2023-10-08,6.403
2023-10-09,2.791
2023-10-10,3.377
2023-10-11,6.547
2023-10-12,7.097
2023-10-13,6.266
2023-10-14,5.79
2023-10-15,5.095
2023-10-16,4.568
2023-10-17,3.3
2023-10-18,5.658
2023-10-19,3.488
2023-10-20,5.665
2023-10-21,5.634
2023-10-22,4.263
2023-10-23,5.284
2023-10-24,4.508
2023-10-25,4.304
2023-10-26,5.138
2023-10-27,5.611
2023-10-28,3.844
2023-10-29,3.31
2023-10-30,4.124
2023-10-31,3.829
2023-11-01,4.567
2023-11-02,4.042
2023-11-03,3.619
2023-11-04,3.492
2023-11-05,1.315
2023-11-06,3.27
2023-11-07,3.942
2023-11-08,1.716
2023-11-09,2.927
2023-11-10,1.875
2023-11-11,4.119
2023-11-12,4.177
2023-11-13,3.775
2023-11-14,2.479
2023-11-15,3.625
2023-11-16,1.963
2023-11-17,2.912
2023-11-18,3.219
2023-11-19,2.901
2023-11-20,2.871
2023-11-21,1.607
2023-11-22,3.581
2023-11-23,3.942
2023-11-24,3.177
2023-11-25,2.748
2023-11-26,2.661
2023-11-27,1.553
2023-11-28,1.515
2023-11-29,1.0
2023-11-30,2.579
2023-12-01,2.844
2023-12-02,3.275
2023-12-03,2.955
2023-12-04,2.751
2023-12-05,2.556
2023-12-06,3.354
2023-12-07,3.41
2023-12-08,3.528
2023-12-09,3.748
2023-12-10,2.362
2023-12-11,3.944
2023-12-12,1.174
2023-12-13,3.247
2023-12-14,3.53
2023-12-15,4.015
2023-12-16,3.444
2023-12-17,3.336
2023-12-18,3.642
2023-12-19,4.6
2023-12-20,3.193
2023-12-21,2.111
2023-12-22,2.333
2023-12-23,3.153
2023-12-24,2.887
2023-12-25,3.276
2023-12-26,3.035
2023-12-27,1.49
2023-12-28,2.494
2023-12-29,1.324
2023-12-30,1.609
2023-12-31,0.766
2024-01-01,2.018
2024-01-02,2.644
2024-01-03,1.214
2024-01-04,0.56
2024-01-05,0.846
2024-01-06,1.503
2024-01-07,1.91
2024-01-08,1.571
2024-01-09,0.983
2024-01-10,3.045
2024-01-11,3.392
2024-01-12,2.142
2024-01-13,3.426
2024-01-14,1.442
2024-01-15,3.788
2024-01-16,1.049
2024-01-17,3.39
2024-01-18,2.279
2024-01-19,1.075
2024-01-20,1.679
2024-01-21,2.576
2024-01-22,3.135
2024-01-23,1.21
2024-01-24,2.308
2024-01-25,2.476
2024-01-26,3.366
2024-01-27,4.892
2024-01-28,0.848
2024-01-29,3.672
2024-01-30,1.868
2024-01-31,1.776
2024-02-01,2.702
2024-02-02,3.864
2024-02-03,3.313
2024-02-04,2.014
2024-02-05,4.02
2024-02-06,5.013
2024-02-07,4.197
2024-02-08,4.951
2024-02-09,2.517
2024-02-10,4.996
2024-02-11,5.273
2024-02-12,2.952
2024-02-13,1.674
2024-02-14,2.544
2024-02-15,5.0
2024-02-16,5.519
2024-02-17,5.93
2024-02-18,3.038
2024-02-19,4.259
2024-02-20,3.803
2024-02-21,5.217
2024-02-22,5.258
2024-02-23,5.472
2024-02-24,2.675
2024-02-25,5.257
2024-02-26,3.67
2024-02-27,4.369
2024-02-28,6.669
2024-02-29,2.946
2024-03-01,4.258
2024-03-02,1.576
2024-03-03,4.811
2024-03-04,3.957
2024-03-05,5.79
2024-03-06,4.979
2024-03-07,5.883
2024-03-08,5.493
2024-03-09,4.352
2024-03-10,5.063
2024-03-11,3.829
2024-03-12,6.428
2024-03-13,5.24
2024-03-14,5.89
2024-03-15,7.223
2024-03-16,5.98
2024-03-17,5.376
2024-03-18,6.255
2024-03-19,7.201
2024-03-20,6.413
2024-03-21,6.524
2024-03-22,7.297
2024-03-23,7.353
2024-03-24,3.835
2024-03-25,6.545
2024-03-26,5.585
2024-03-27,5.157
2024-03-28,6.632
2024-03-29,4.189
2024-03-30,6.906
2024-03-31,7.657
2024-04-01,6.706
2024-04-02,7.269
2024-04-03,6.795
2024-04-04,7.449
2024-04-05,5.932
2024-04-06,7.688
2024-04-07,3.424
2024-04-08,7.167
2024-04-09,6.539
2024-04-10,5.5
2024-04-11,6.368
2024-04-12,3.668
2024-04-13,4.663
2024-04-14,4.578
2024-04-15,4.338
2024-04-16,6.522
2024-04-17,6.991
2024-04-18,8.501
2024-04-19,7.255
2024-04-20,7.875
2024-04-21,7.811
2024-04-22,4.358
2024-04-23,7.397
2024-04-24,7.349
2024-04-25,7.984
2024-04-26,6.713
2024-04-27,8.098
2024-04-28,2.676
2024-04-29,3.335
2024-04-30,8.698
2024-05-01,7.83
2024-05-02,7.71
2024-05-03,8.005
2024-05-04,6.501
2024-05-05,7.41
2024-05-06,2.76
2024-05-07,7.126
2024-05-08,7.66
2024-05-09,4.486
2024-05-10,7.106
2024-05-11,7.107
2024-05-12,3.42
2024-05-13,6.296
2024-05-14,4.563
2024-05-15,8.378
2024-05-16,7.108
2024-05-17,6.781
2024-05-18,7.219
2024-05-19,7.861
2024-05-20,7.03
2024-05-21,6.888
2024-05-22,6.759
2024-05-23,7.94
2024-05-24,7.597
2024-05-25,7.544
2024-05-26,8.532
2024-05-27,7.476
2024-05-28,2.703
2024-05-29,6.888
2024-05-30,5.119
2024-05-31,8.079
2024-06-01,6.546
2024-06-02,8.54
2024-06-03,6.93
2024-06-04,7.31
2024-06-05,4.718
2024-06-06,8.217
2024-06-07,6.724
2024-06-08,3.301
2024-06-09,7.463
2024-06-10,6.696
2024-06-11,7.232
2024-06-12,7.503
2024-06-13,8.015
2024-06-14,6.948
2024-06-15,8.575
2024-06-16,8.308
2024-06-17,7.895
2024-06-18,6.903
2024-06-19,6.778
2024-06-20,5.872
2024-06-21,3.494
2024-06-22,5.401
2024-06-23,6.253
